Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
booktopus-mini-board-book-my-first-100-things-under-the-sea-early-learning-books-for-kids-picture-books-for-baby-4-years,Booktopus Mini Board Book – My First 100 Things Under The Sea – Early Learning Books for Kids – Picture Books for Baby 4+ Years,"<p>What’s in the water? What kind of plants can grow underwater? Filled with fun pictures and colourful characters, this book is the ideal starting point to be introduced to the wonders of the oceans.</p>
<p>A compact learning book designed for building early vocabulary and object recognition skills, featuring 100 essential concepts with bright illustrations.</p>
<p>This early learning book:</p>
<ul>
<li>Builds essential vocabulary naturally</li>
<li>Features clear, vibrant illustrations</li>
<li>Perfect compact size for little hands</li>
<li>Covers comprehensive learning topics</li>
<li>Ideal for early vocabulary development</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, creative-books, activity-books, learning-books",TRUE,,,,,deny,manual,250.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365698374.jpg,1,Booktopus Mini Board Book – My First 100 Things Under The Sea – Early Learning Books for Kids – Picture Books for Baby 4+ Years,active
booktopus-slide-and-learn-board-book-my-emotions-emotional-learning-book-interactive-books-for-kids-4-years-social-skills-development,Booktopus Slide and Learn Board Book – My Emotions Emotional Learning Book – Interactive Books for Kids 4+ Years – Social Skills Development,"<p>An innovative board book with sliding mechanisms designed to teach emotional intelligence and social skills through interactive storytelling and everyday scenarios.</p>
<p>This emotional development book:</p>
<ul>
<li>Helps understand and express feelings</li>
<li>Teaches mindfulness and good manners</li>
<li>Features smooth-glide sliding pages</li>
<li>Includes relatable daily situations</li>
<li>Excellent for parent-guided discussions</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys",TRUE,,,,,deny,manual,399.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365695076.jpg,1,Booktopus Slide and Learn Board Book – My Emotions Emotional Learning Book – Interactive Books for Kids 4+ Years – Social Skills Development,active
booktopus-torch-discovery-book-jungle-animals-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years,Booktopus Torch Discovery Book – Jungle Animals Hidden Picture Book with Torch – Learning Activity Books for Kids 4+ Years,"<p>The jungle can be a difficult space to spot all animals due to its foliage, but nothing can remain hidden for too long with the Torch series. Featuring an innovative design, this book is ideal for the young detectives at home, who enjoy a game of hide-and-seek alongside learning.</p>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books, torch-book",TRUE,,,,,deny,manual,399.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365698039.jpg,1,Booktopus Torch Discovery Book – Jungle Animals Hidden Picture Book with Torch – Learning Activity Books for Kids 4+ Years,active
booktopus-torch-discovery-book-at-the-farm-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years-interactive-book,Booktopus Torch Discovery Book – At The Farm Hidden Picture Book with Torch – Learning Activity Books for Kids 4+ Years – Interactive Book,"<p>An exciting discovery book with a special torch mechanism that transforms reading into an adventure. Hidden details come alive with the included torch, making learning magical.</p>
<p>This discovery book:</p>
<ul>
<li>Makes learning delightful through hidden picture revelation</li>
<li>Turns reading into an exciting adventure</li>
<li>Encourages exploration and discovery</li>
<li>Includes special torch with ribbon attachment</li>
<li>Perfect for gifting to curious young minds</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books, torch-book",TRUE,,,,,deny,manual,399.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365694154.jpg,1,Booktopus Torch Discovery Book – At The Farm Hidden Picture Book with Torch – Learning Activity Books for Kids 4+ Years – Interactive Book,active
booktopus-square-puzzle-board-book-jungle-friends-learning-puzzle-with-easy-grip-pieces-educational-toys-for-kids-4-years-motor-skills-dev,Booktopus Square Puzzle Board Book – Jungle Friends Learning Puzzle with Easy Grip Pieces – Educational Toys for Kids 4+ Years – Motor Skills Dev,"<ul>
<li>Do you know what all animals are found in the jungle? Which one is your favourite?</li>
</ul>
<p>A developmental puzzle book featuring simple-to-make puzzles with colorful illustrations, specially designed to improve hand coordination and early problem-solving skills in toddlers and young children.</p>
<p>This educational puzzle book:</p>
<ul>
<li>Develops fine motor skills through puzzle-solving activities</li>
<li>Enhances hand-eye coordination with child-friendly pieces</li>
<li>Features lightweight pieces perfect for little hands</li>
<li>Includes engaging story with matching puzzles</li>
<li>Builds confidence through achievable challenges</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys",TRUE,,,,,deny,manual,350.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365699272.jpg,1,Booktopus Square Puzzle Board Book – Jungle Friends Learning Puzzle with Easy Grip Pieces – Educational Toys for Kids 4+ Years – Motor Skills Dev,active
booktopus-square-puzzle-board-book-dino-world-learning-puzzle-with-easy-grip-pieces-educational-toys-for-kids-4-years-motor-skills-dev,Booktopus Square Puzzle Board Book – Dino World Learning Puzzle with Easy Grip Pieces – Educational Toys for Kids 4+ Years – Motor Skills Dev,"<ul>
<li>How much do you know about dinosaurs? Find out more about them here!</li>
</ul>
<p>A developmental puzzle book featuring simple-to-make puzzles with colorful illustrations, specially designed to improve hand coordination and early problem-solving skills in toddlers and young children.</p>
<p>This educational puzzle book:</p>
<ul>
<li>Develops fine motor skills through puzzle-solving activities</li>
<li>Enhances hand-eye coordination with child-friendly pieces</li>
<li>Features lightweight pieces perfect for little hands</li>
<li>Includes engaging story with matching puzzles</li>
<li>Builds confidence through achievable challenges</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys",TRUE,,,,,deny,manual,350.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365699401.jpg,1,Booktopus Square Puzzle Board Book – Dino World Learning Puzzle with Easy Grip Pieces – Educational Toys for Kids 4+ Years – Motor Skills Dev,active
booktopus-slide-and-learn-board-book-my-feelings-emotional-learning-book-interactive-books-for-kids-4-years-social-skills-development,Booktopus Slide and Learn Board Book – My Feelings Emotional Learning Book – Interactive Books for Kids 4+ Years – Social Skills Development,"<p>An innovative board book with sliding mechanisms designed to teach emotional intelligence and social skills through interactive storytelling and everyday scenarios.</p>
<p>This emotional development book:</p>
<ul>
<li>Helps understand and express feelings</li>
<li>Teaches mindfulness and good manners</li>
<li>Features smooth-glide sliding pages</li>
<li>Includes relatable daily situations</li>
<li>Excellent for parent-guided discussions</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys",TRUE,,,,,deny,manual,399.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365694673.jpg,1,Booktopus Slide and Learn Board Book – My Feelings Emotional Learning Book – Interactive Books for Kids 4+ Years – Social Skills Development,active
booktopus-board-book-my-first-100-words-early-learning-books-for-kids-picture-books-for-baby-4-years,Booktopus Board Book – My First 100 Words – Early Learning Books for Kids – Picture Books for Baby 4+ Years,"<p>A compact learning book designed for building early vocabulary and object recognition skills, featuring 100 essential concepts with bright illustrations.</p>
<p>This early learning book:</p>
<ul>
<li>Builds essential vocabulary naturally</li>
<li>Features clear, vibrant illustrations</li>
<li>Perfect compact size for little hands</li>
<li>Covers comprehensive learning topics</li>
<li>Ideal for early vocabulary development</li>
<li>Perfect for gifting</li>
</ul>",,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books",TRUE,,,,,deny,manual,350.00,,TRUE,TRUE,https://www.harpercollins.co.in/book-cover/PowerPoint_jpg/9789365694246.jpg,1,Booktopus Board Book – My First 100 Words – Early Learning Books for Kids – Picture Books for Baby 4+ Years,active
