Product link,Product Category,Tags (seprated by comma)
https://harpercollins.co.in/product/my-first-100-things-under-the-sea-mini-board-book/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, creative-books, activity-books, learning-books"
https://harpercollins.co.in/product/my-emotions/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys"
https://harpercollins.co.in/product/booktopus-torch-discovery-book-jungle-animals-hidden-picture-book-with-torch-learning-activity-books-for-kids-4-years/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books, torch-book"
https://harpercollins.co.in/product/at-the-farm-torch-book/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books, torch-book"
https://harpercollins.co.in/product/jungle-friends-puzzle-book/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys"
https://harpercollins.co.in/product/booktopus-square-puzzle-board-book-dino-world-learning-puzzle-with-easy-grip-pieces-educational-toys-for-kids-4-years-motor-skills-dev/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, interactive-books, creative-books, puzzle-books, girls, boys"
https://harpercollins.co.in/product/my-feelings/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys"
https://harpercollins.co.in/product/my-emotions/,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, positive-books, wellbeing-books, girls, boys"
https://harpercollins.co.in/product/booktopus-board-book-my-first-100-words-early-learning-books-for-kids-picture-books-for-baby-4-years/,Books,"children-books, books, 1-3-years, 4-7-years, gender-neutral, girls, boys, stories, interactive-books, creative-books, activity-books, learning-books"
