Product link,Product Category,Tags (seprated by comma)
https://www.amazon.in/We-Love-Cuddle-Lays-Bittencourt/dp/9358568259/ref=pd_vtp_h_pd_vtp_h_d_sccl_3/520-0973998-4577526?pd_rd_w=Z4Tgi&content-id=amzn1.sym.6c9a4279-ad42-4fd6-b9a9-3cd14ede34c9&pf_rd_p=6c9a4279-ad42-4fd6-b9a9-3cd14ede34c9&pf_rd_r=QYA6Z4Q5J94GEVJXCMAV&pd_rd_wg=AP3K2&pd_rd_r=edb3c94f-c7d5-4849-aeb4-504569148867&pd_rd_i=9358568259&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys"
https://www.amazon.in/dp/9358561505?ref=emc_s_m_5_i_atc,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, story-books, girls, boys"
https://www.amazon.in/Seek-Find-Animals-Early-Learning/dp/9389432359/ref=srd_d_vsims_d_sccl_1_10/520-0973998-4577526?pd_rd_w=eEWg8&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=V1RD2A9R1T5YWTY7EAX2&pd_rd_wg=6UjMk&pd_rd_r=1dddbe73-6aa7-4a12-b372-55048173d71f&pd_rd_i=9389432359&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, seek-and-find-books, girls, boys"
https://www.amazon.in/Seek-Find-Vehicles-Early-Learning/dp/9389432367/ref=pd_bxgy_thbs_d_sccl_2/520-0973998-4577526?pd_rd_w=TLew1&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=EB2FDHG9MA2CQJWNF6EM&pd_rd_wg=oM0nw&pd_rd_r=5f477400-f91f-4ca6-b3a7-e490b9649f50&pd_rd_i=9389432367&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, seek-and-find-books, girls, boys"
https://www.amazon.in/Things-Cant-See-SAM-Recognize/dp/9354165974/ref=srd_d_vsims_d_sccl_1_39/520-0973998-4577526?pd_rd_w=eEWg8&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=V1RD2A9R1T5YWTY7EAX2&pd_rd_wg=6UjMk&pd_rd_r=1dddbe73-6aa7-4a12-b372-55048173d71f&pd_rd_i=9354165974&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, wellbeing-books"
https://www.amazon.in/Nursery-Rhymes-Board-Book-First/dp/9388144201/ref=srd_d_vsims_d_sccl_1_38/520-0973998-4577526?pd_rd_w=eEWg8&content-id=amzn1.sym.7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_p=7ccbe032-5929-4c88-ab39-4923842061df&pf_rd_r=V1RD2A9R1T5YWTY7EAX2&pd_rd_wg=6UjMk&pd_rd_r=1dddbe73-6aa7-4a12-b372-55048173d71f&pd_rd_i=9388144201&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, interactive-books, creative-books, hard-cut, story-books, music-books, audio-books, sound-books, girls, boys, rhymes"
https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=pd_bxgy_thbs_d_sccl_2/520-0973998-4577526?pd_rd_w=9REyQ&content-id=amzn1.sym.e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_p=e933bed8-66b5-4e19-9aeb-b2834144fba3&pf_rd_r=RZTDG9A760FE2611TSW1&pd_rd_wg=kK8np&pd_rd_r=c96ae078-8fcf-495a-9eb3-da0def7a77b1&pd_rd_i=9354405169&psc=1,Books,"children-books, books, 1-3-years, 4-7-years, 8+-years, gender-neutral, stories, interactive-books, creative-books, indian-mythology, girls, boys"
https://www.amazon.in/gp/aw/d/9390093953/?_encoding=UTF8&pd_rd_plhdr=t&aaxitk=3d8f2f778ad26abef14d6acd24596f1c&hsa_cr_id=0&qid=1765204441&sr=1-3-1ee1b2e4-01d1-4cd0-b737-4c27ebfc8105&aref=h1Xr10St8b&ref_=sbx__sbtcd2_asin_2_img&pd_rd_w=KTvjB&content-id=amzn1.sym.a66b3449-0491-4455-b928-7d9918a72d25%3Aamzn1.sym.a66b3449-0491-4455-b928-7d9918a72d25&pf_rd_p=a66b3449-0491-4455-b928-7d9918a72d25&pf_rd_r=WY1VZ3QG2NY6S76S8KJ3&pd_rd_wg=6q2Cw&pd_rd_r=5089c106-60f8-4d8c-ad50-33b112e31079,Books,"children-books, books, 1-3-years, 4-7-years, boys, gender-neutral, interactive-books, creative-books, hard-cover, story-books, panchtantra"
https://www.amazon.in/dp/9389178126/ref=sspa_dk_detail_2?psc=1&pd_rd_i=9389178126&pd_rd_w=ntP3x&content-id=amzn1.sym.00892a2d-bd0e-4f46-9295-e128db4dc924&pf_rd_p=00892a2d-bd0e-4f46-9295-e128db4dc924&pf_rd_r=RZTDG9A760FE2611TSW1&pd_rd_wg=kK8np&pd_rd_r=c96ae078-8fcf-495a-9eb3-da0def7a77b1&aref=HTKz56HbJ8&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy,Books,"children-books, books, 1-3-years, 4-7-years, boys, gender-neutral, interactive-books, creative-books, hard-cover, story-books, panchtantra"
https://www.amazon.in/Stainless-Christmas-Cutlery-Figurines-Flatware/dp/B0FYWRZGS8/ref=sr_1_6?crid=2FUKUCL97YVMS&dib=eyJ2IjoiMSJ9.x2ofHKfKtgI_PJ_-JA1nm-vua_aE6RsUu_A1lRa1qLVKTnl_URW8R9naG7w-Zgj25geU9ddHeW34ioqg5XzZosigN75zRJ9lcD4Xao0Tg-VKdWJLVRPIjAC4Qb5YJGjuKL84vz0VFVFrloaUFi_AdBl7moK0K3lY4ccAF7yUY9OmUokVhrCRn7YQx4HlMLS0Ftq0BVQFRTvekutjd-aALL_VsoFsEP_UZ0jccmPhMScGzFxuSKxb856Ocdf2KeFa7TwDJdyjALVdSpJbEE6RFGFEfGipGrOCqEZV_6yEs8k.2AvmcW26Rk-jey_I9DbZgR5rpBhoMvh1HGeoznvVIQM&dib_tag=se&keywords=christmas%2Bthemed%2Bcutlery&qid=1765363583&sprefix=Christmas%2BThemed%2Bcutle%2Caps%2C236&sr=8-6&th=1,Christmas,"cutlery, christmas, festive, gifting, gender-neutral, girls, boys, 4-7-years, 8+-years, 14-and-above, trending-now"
https://www.amazon.in/Moira-Cutlery-Set-Santa-Tree/dp/B0DNXMG8XN/ref=sr_1_8?crid=2FUKUCL97YVMS&dib=eyJ2IjoiMSJ9.x2ofHKfKtgI_PJ_-JA1nm-vua_aE6RsUu_A1lRa1qLVKTnl_URW8R9naG7w-Zgj25geU9ddHeW34ioqg5XzZosigN75zRJ9lcD4Xao0Tg-VKdWJLVRPIjAC4Qb5YJGjuKL84vz0VFVFrloaUFi_AdBl7moK0K3lY4ccAF7yUY9OmUokVhrCRn7YQx4HlMLS0Ftq0BVQFRTvekutjd-aALL_VsoFsEP_UZ0jccmPhMScGzFxuSKxb856Ocdf2KeFa7TwDJdyjALVdSpJbEE6RFGFEfGipGrOCqEZV_6yEs8k.2AvmcW26Rk-jey_I9DbZgR5rpBhoMvh1HGeoznvVIQM&dib_tag=se&keywords=christmas%2Bthemed%2Bcutlery&qid=1765363583&sprefix=Christmas%2BThemed%2Bcutle%2Caps%2C236&sr=8-8&th=1,Christmas,"cutlery, christmas, festive, gifting, gender-neutral, girls, boys, 4-7-years, 8+-years, 14-and-above, trending-now"
https://www.amazon.in/Barbie-Signature-Anniversary-Collectible-Sunglasses/dp/B0CB6JMVR7/ref=sr_1_5?crid=127VAD7SZ16HU&dib=eyJ2IjoiMSJ9.h_cl0uYibV1KGCYQhBBdwX2o2d9JenVQRjVikvG1wOHo1SOuJjie-2dQ0BBvJa2a7LdB7Pb51nfoGZbml3W5dWQ-klbMJYJ41-cm_r23sNg5h0PVRj5OY_xvUdM6tLIyuW81XNEWiPtAakqkOUDqdEPTnO8DfcQzyFmxDKFPAHLqHVrloiKhUi-nQKghEHYedzNN11346wvfYp0YuwzU2U84xeAvKFUCAYdP-Au3nVHpHRyjpFrOley_y_Po2cn94QGElf1AXMyscVDCaicGA2KNY0VIMkZbmwbOFqKJZTw.G37KKDOXIw4_ocy-TcjzDtj11laGJa-41YZOGJ7lQx8&dib_tag=se&keywords=barbie+65+th+birthday+anniversary+dolls&qid=1765377291&sprefix=Barbie+65+Anni%2Caps%2C248&sr=8-5,Dolls,"toys, dolls, barbie, 4-7-years, 8+-years, pretend-and-play, indian-doll, trending-now, trending-products, trending-now"
https://www.amazon.in/HOUSE-PACKABLE-109301632-Masha-Bear/dp/B00VPY431C/ref=sr_1_7?crid=3BGGHWR2DV8XQ&dib=eyJ2IjoiMSJ9.dgVeTgeibNp9WgvGHhS17ipCh030CpWCCtZgltHHJheDJYBAKLppjZuzqqo0SGDr9rnfkjuf6JjB8TZHaifRmUVUwsxZcf6TVt7Opl70zAq1g5OIQX7ByFWvCALa45TgDXj3UEyGhUJFh3vRZlB77uPpGW18Cyix4cpIcTg_5Slm6mo_jldgq17w0gUzbIjFuuCAADRqPDU21XaZOB-4mxFwgWPosV4nnZbE75EW3exxTkMK6tFYa_a41vyWBhPp83X9XU-0CrJL4xIY4Fj1ikJsy0KphROIG0vwpJy4mpw.tT6ZQ6-s0XTZc9P5kIsAqma5DvLanYCSHjqEMEzidFI&dib_tag=se&keywords=Masha+and+the+bear+house+toy&qid=1765378021&sprefix=masha+and+the+bear+house+toy%2Caps%2C256&sr=8-7,Toys and Games,"toys, 4-7-years, girls, pretend-and-play, dolls, masha-and-the-bear, simba"
https://www.amazon.in/Learning-Educational-Musical-Months-Multi-Color/dp/B0FHB4VGP5,Toys and Games,"1-3-years, 4-7-years, musical-toys, learning-toys, learning, educational, music, phymes, light-and-sound, gender-neutral, baby-products, baby-toys"
https://www.amazon.in/SHAKTISM-Dancing-Toy-Interactive-Jelly/dp/B0FR5G1RMK/ref=sr_1_2?crid=33X8F7YF44DD4&dib=eyJ2IjoiMSJ9.9R6QLhrTAID8NWeAYm-iM9ZalRBni5-GjGsNI7aTTsUcqx8LbICPy5OSQ2OO44U6ZLgPvMjXzfgLuNhuHnh93UTM1bOwEN8OHZDG8JmqmK0xc2pK3uU_aadNpUYGxpocZvimJMs_Ih9B5GeyQs44Few07VkPK2c1i9fp7HpE3JKWryC_yWuI4zP4yn1e5lXVGdLKuEEE5BibgEgKxwviWXYUWzcMYNIFRZfg2WYmfLyghzgHcePpGTV01n6x8VVgO-GGtT9F6K0bACmYFb78JI4aVjxPgIXY8C33IrpmEhg.9z_I7hpleA_SSpokhDrpqwrIJDbd1kHFCvGTrGXCwk8&dib_tag=se&keywords=Rotating+octopus&qid=1765380051&s=toys&sprefix=rotating+octop%2Ctoys%2C222&sr=1-2,Toys and Games,"1-3-years, 4-7-years, musical-toys, learning-toys, music, phymes, light-and-sound, gender-neutral, baby-products, baby-toys, gender-neutral"
https://www.amazon.in/Hopop-MoZzbito-Repellent-Protection-Transport/dp/B09RW8QFKD/ref=sr_1_40?crid=1FPFMIJZ3QDVI&dib=eyJ2IjoiMSJ9.imP1OEOUuJ8uIe55A1VFntLjau3_LIt2U2ZUiYSgHnpLwFNMay746PKfRAIko-r_JGwSGKEsnxK7q25Fmxk_m5jbOPY6VALD3JYT8JCcWemPi4xpxQrs6p5BvC3orjNYXY4Q2tczKinK6m5IAR_jn9r8S274dzbMJS9Gd6LtaEOnZ_bYW3nH2SL11RD5euoxXURo7NPeTkvFA_h8ue7zFLlhekBTQ-qx21Di0bic_e5dKIqpXLwqpkOKyLBSr_wlz29RRlH6rsVsS0ngS-XMsZKAy8YIFlVDguz5PNKMyqM.oXSU_4uAaUypnBUZ1yZw5by0Hp4ZHDJqGro5iECrb6M&dib_tag=se&keywords=hopop%2Bbaby%2Bproducts&nsdOptOutParam=true&qid=1765380948&sprefix=Hopop%2B%2Caps%2C263&sr=8-40&th=1,Baby Products,"baby-products, hopop, mosquito-repellent-patches, 1-3-years, newborn, gender-neutral, 4-7-years, natural"
https://www.amazon.in/Hopop-Railing-Foldable-Protector-Adjustable/dp/B0DS2K2SQV/ref=sr_1_42?crid=1FPFMIJZ3QDVI&dib=eyJ2IjoiMSJ9.imP1OEOUuJ8uIe55A1VFntLjau3_LIt2U2ZUiYSgHnpLwFNMay746PKfRAIko-r_JGwSGKEsnxK7q25Fmxk_m5jbOPY6VALD3JYT8JCcWemPi4xpxQrs6p5BvC3orjNYXY4Q2tczKinK6m5IAR_jn9r8S274dzbMJS9Gd6LtaEOnZ_bYW3nH2SL11RD5euoxXURo7NPeTkvFA_h8ue7zFLlhekBTQ-qx21Di0bic_e5dKIqpXLwqpkOKyLBSr_wlz29RRlH6rsVsS0ngS-XMsZKAy8YIFlVDguz5PNKMyqM.oXSU_4uAaUypnBUZ1yZw5by0Hp4ZHDJqGro5iECrb6M&dib_tag=se&keywords=hopop%2Bbaby%2Bproducts&nsdOptOutParam=true&qid=1765380948&sprefix=Hopop%2B%2Caps%2C263&sr=8-42&th=1,Baby Products,"baby-products, hopop, bed-railing, baby-safety-products, 1-3-years, newborn, gender-neutral, 4-7-years, rail-guard"
https://www.amazon.in/Hopop-Grooming-Suitable-Toothbrush-protective/dp/B0D4HX26BJ/ref=sr_1_43?crid=1FPFMIJZ3QDVI&dib=eyJ2IjoiMSJ9.imP1OEOUuJ8uIe55A1VFntLjau3_LIt2U2ZUiYSgHnpLwFNMay746PKfRAIko-r_JGwSGKEsnxK7q25Fmxk_m5jbOPY6VALD3JYT8JCcWemPi4xpxQrs6p5BvC3orjNYXY4Q2tczKinK6m5IAR_jn9r8S274dzbMJS9Gd6LtaEOnZ_bYW3nH2SL11RD5euoxXURo7NPeTkvFA_h8ue7zFLlhekBTQ-qx21Di0bic_e5dKIqpXLwqpkOKyLBSr_wlz29RRlH6rsVsS0ngS-XMsZKAy8YIFlVDguz5PNKMyqM.oXSU_4uAaUypnBUZ1yZw5by0Hp4ZHDJqGro5iECrb6M&dib_tag=se&keywords=hopop%2Bbaby%2Bproducts&nsdOptOutParam=true&qid=1765380948&sprefix=Hopop%2B%2Caps%2C263&sr=8-43&th=1,Baby Products,"baby-products, baby-care-products, hopop, baby-grooming, 1-3-years, newborn, gender-neutral, 4-7-years, baby-grooming-kit"
